Comment,Designator,Footprint,LCSC Part #
"368255-2","P1","368255-2",""
"10u","C300, C302, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"100n","C301, C303, C411, C460, C461, C470, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C430, C431, C421, C422","C0603","C14663"
"B5819W","D300, D301, D302, D303, D416, D417, D101, D107, D421","SOD-123","C8598"
"PSM712-LF","D304, D411","SOT-23","C32677"
"SMD1206P050TF/24","F300, F410","SMD1206","C209741"
"AO3401A","Q300, Q301, Q302, Q303, Q304","SOT-23","C15127"
"AUIPS2041LTR","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C113610"
"AO3400A","Q313, Q410, Q411","SOT-23","C20917"
"10k","R300, R301, R102, R121, R122, R123, R127, R128","R0603","C25804"
"4.7k","R302, R303, R307, R308, R313, R412","R0603","C23162"
"10k","R304, R305, R306, R208, R210, R129, R130","R0603-4","C29718"
"0","R310, R312","R0603","C21189"
"0.1","R314","R1206","C25334"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"NE555D","U302, U305","SO8","C7593"
"100u","C410","TANT-B","C16133"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"ZMM3V3","D415","SOD80","C8056"
"SMCJ30CA","D418","SMC","C133648"
"33k","R410, R411, R474","R0603","C4216"
"6.8k","R413, R420","R0603","C23212"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"SN74LVC4245APWR","U460","TSSOP24","C7859"
"3.3n","C471","C0603","C1613"
"330p","C472","C0603","C1664"
"47p","C473","C0603","C1671"
"680p","C474","C0603","C1630"
"470k","R470","R0603","C23178"
"100k","R471, R473","R0603","C25803"
"12k","R472","R0603","C22790"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"1n","C200, C202, C203, C216, C217, C218, C219","C0603","C1588"
"10n","C201, C208, C209, C210, C211","C0603","C57112"
"2.2u","C227, C228, C229","C0805","C49217"
"SRV05-4-P-T7","D200, D201, D202, D203, D204, D205, D102","SOT23-6","C85364"
"P6SMB6.8CA","D206, D420","SMB","C78395"
"4k7","R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"680k","R206, R209, R211","R0603-4","C145776"
"510","R212, R213, R214, R215, R116, R119, R120, R124","R0603","C23193"
"3.3k","R216","R0603","C22978"
"4.7u","C102, C103, C104, C137, C138, C140","C0603","C19666"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"LED-RED","D103","LED-0603","C2286"
"LED-GREEN","D104","LED-0603","C72043"
"LED-BLUE","D105","LED-0603","C72041"
"LED-YELLOW","D106","LED-0603","C72038"
"SDFL2012Q3R3KTF","L101","L0805","C51725"
"4k7","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C66697"
"100","R104, R106","R0603","C22775"
"47","R114","R0603","C23182"
"AMS1117-3.3","U101","SOT-223","C6186"
"LMV324IPWR","U102, U104, U106, U107, U108, U109","TSSOP14","C398929"
"AP2337SA-7","U103","SOT-23","C150497"
"STM32F427IGT6","U105","LQFP176","C117817"
"XC6206P332MR","U111","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C99009"
"8.0 MHz","Y102","SMD5032","C115962"
"PESD1CAN","D430","SOT-23","C343993"
"120","R430","R0603","C22787"
"TJA1051T/3/1J","U430","SO8","C38695"
"10u","C420","C1206","C13585"
"47u","C423, C424, C425, C426, C427, C428","C1206","C96123"
"SMMS0650-4R7M","L420, L421","SMMS0650","C149582"
"36k","R421, R422","R0603","C23147"
"MP2451DT","U420","TSOT23-6","C14123"
